data_deposito,deposito,rendimentos_acumulados,subtotal
15/11/2025,365.08,1.18,366.26
25/11/2025,49.87,0,49.87
25/11/2025,70,0.24,70.24
26/11/2025,633.03,15.36,648.39
06/01/2026,450,16.08,466.08
05/02/2026,281.36,0,281.36
05/02/2026,2.11,0,2.11
05/02/2026,45,3.65,48.65
11/02/2026,30,1.85,31.85
17/02/2026,35.9,0,35.9
17/02/2026,0.71,11.24,11.95
05/03/2026,248.06,14.72,262.78
25/03/2026,50,2.14,52.14
27/03/2026,125,5.61,130.61
06/04/2026,260,24.98,284.98
05/05/2026,259.44,33.07,292.51
07/06/2026,5.68,0,5.68
07/06/2026,100,16.65,116.65
19/06/2026,190.8,0,190.8
20/06/2026,100,17.43,117.43
06/07/2026,471.61,7.03,478.64
12/07/2026,91.19,5.47,96.66
15/07/2026,53.44,0,53.44
15/07/2026,1.621,5.10,6.721
19/07/2026,69.8,2.75,72.55
20/07/2026,70,10.46,80.46
25/07/2026,567.2,0,567.2
26/07/2026,157.67,13.26,170.93
02/08/2026,29.4,0,29.4
03/08/2026,78.05,14.00,92.05
08/08/2026,42.34,2.67,45.01
10/08/2026,24.95,8.11,33.06
13/08/2026,9.4,2.71,12.11
15/08/2026,77.83,50.22,128.05
10/09/2026,91.4,2.77,94.17
